"","Month","demo","50%","2.5%","97.5%","avg","ci_min","ci_max"
"1","December","IndJuvF",0.860857517565105,0.0398119573907641,20.6482473029629,0.860857517565105,0.0398119573907641,20.6482473029629
"2","January","IndJuvF",2.12100047736549,0.102680372222381,44.3386023984342,2.12100047736549,0.102680372222381,44.3386023984342
"3","February","IndJuvF",2.40704134215272,0.125644651464075,52.4102563627875,2.40704134215272,0.125644651464075,52.4102563627875
"4","March","IndJuvF",1.34124981749246,0.061336728394488,28.7499499346801,1.34124981749246,0.061336728394488,28.7499499346801
"5","April","IndJuvF",0.834786613211062,0.0407542657202705,18.6106204964075,0.834786613211062,0.0407542657202705,18.6106204964075
"6","May","IndJuvF",2.05176251180123,0.0983530031865594,44.1460399411203,2.05176251180123,0.0983530031865594,44.1460399411203
"7","June","IndJuvF",3.79653937891805,0.14797550694153,83.5774633401713,3.79653937891805,0.14797550694153,83.5774633401713
"8","July","IndJuvF",4.35915498560221,0.178723754825359,102.759687115823,4.35915498560221,0.178723754825359,102.759687115823
"9","August","IndJuvF",2.97204809445292,0.124794015004902,70.8194825299856,2.97204809445292,0.124794015004902,70.8194825299856
"10","December","IndJuvM",1.18732855970124,0.0530881939908865,25.244296717115,1.18732855970124,0.0530881939908865,25.244296717115
"11","January","IndJuvM",2.91723106300127,0.122708382078653,65.7472124392829,2.91723106300127,0.122708382078653,65.7472124392829
"12","February","IndJuvM",3.3019699576162,0.144430057801978,70.489255819128,3.3019699576162,0.144430057801978,70.489255819128
"13","March","IndJuvM",1.87127473254146,0.0960308149774587,36.5524932161104,1.87127473254146,0.0960308149774587,36.5524932161104
"14","April","IndJuvM",1.17934884244317,0.0564825297125201,22.8552617548341,1.17934884244317,0.0564825297125201,22.8552617548341
"15","May","IndJuvM",2.98405824241337,0.132088904075672,65.7217783182331,2.98405824241337,0.132088904075672,65.7217783182331
"16","June","IndJuvM",5.03287115119193,0.203488963373501,119.794751468146,5.03287115119193,0.203488963373501,119.794751468146
"17","July","IndJuvM",6.03636102893781,0.263123084855396,140.561264383433,6.03636102893781,0.263123084855396,140.561264383433
"18","August","IndJuvM",4.11428685410026,0.168418863059351,93.2806068955888,4.11428685410026,0.168418863059351,93.2806068955888
"19","December","IndAdF",1.16674390522563,0.0550374146850529,23.4621503513117,1.16674390522563,0.0550374146850529,23.4621503513117
"20","January","IndAdF",2.95902846619547,0.132720055086816,60.6851424144731,2.95902846619547,0.132720055086816,60.6851424144731
"21","February","IndAdF",3.19937315956904,0.154081454052075,64.1621327817307,3.19937315956904,0.154081454052075,64.1621327817307
"22","March","IndAdF",1.81160548285423,0.0845825080243962,40.3236551912955,1.81160548285423,0.0845825080243962,40.3236551912955
"23","April","IndAdF",1.1605529440207,0.055476720191583,22.5987140389606,1.1605529440207,0.055476720191583,22.5987140389606
"24","May","IndAdF",2.8863698641954,0.138123939538059,63.1108447635673,2.8863698641954,0.138123939538059,63.1108447635673
"25","June","IndAdF",4.90144315351614,0.207308467447538,112.134227943677,4.90144315351614,0.207308467447538,112.134227943677
"26","July","IndAdF",6.26129675213384,0.278928086797048,142.525125939223,6.26129675213384,0.278928086797048,142.525125939223
"27","August","IndAdF",4.14501952953393,0.166658962717716,93.1459026727635,4.14501952953393,0.166658962717716,93.1459026727635
"28","December","IndAdM",2.13101855885255,0.0899560449024995,45.5084514896364,2.13101855885255,0.0899560449024995,45.5084514896364
"29","January","IndAdM",5.36019462301372,0.24168591289241,112.027667966908,5.36019462301372,0.24168591289241,112.027667966908
"30","February","IndAdM",5.61956508877271,0.272452983862539,116.459407702273,5.61956508877271,0.272452983862539,116.459407702273
"31","March","IndAdM",3.26396257276604,0.144976699040084,68.5333520010846,3.26396257276604,0.144976699040084,68.5333520010846
"32","April","IndAdM",2.0416008672879,0.0958577544121146,43.7627444023162,2.0416008672879,0.0958577544121146,43.7627444023162
"33","May","IndAdM",5.17942384065026,0.233514824228697,107.139463940749,5.17942384065026,0.233514824228697,107.139463940749
"34","June","IndAdM",9.14803262203,0.372501584483822,190.557061318466,9.14803262203,0.372501584483822,190.557061318466
"35","July","IndAdM",10.8636374795675,0.449151122539626,264.603076247957,10.8636374795675,0.449151122539626,264.603076247957
"36","August","IndAdM",7.49919371307424,0.30653127364072,188.539923270729,7.49919371307424,0.30653127364072,188.539923270729
